REF_AREA,date,HPI,HPI_RPI,RPI,iso2,hh_share,year,d_ptr,d_hp,d_rent,d_hh
ITA,1999-10-01,66.4100712224199,90.5400066944871,73.3488375988341,IT,28.208556149732615,1999,4.107418737456392,6.7921377763030755,2.6847190388467723,0.7892013110229392
ITA,2000-10-01,72.0821913628832,95.9636413460261,75.114031883492,IT,28.8265306122449,2000,5.8177567802994545,8.19582946364239,2.3780726833429355,0.6179744625122829
ITA,2001-10-01,78.2681027472075,101.897659757878,76.8104675313657,IT,29.181929181929178,2001,5.999959014863165,8.233313302260736,2.2333542873972156,0.3553985696842794
ITA,2002-10-01,85.859174585004,109.056767516588,78.7288486264486,IT,30.33175355450237,2002,6.7899575663867395,9.256830157516394,2.466872591130098,1.1498243725731925
ITA,2003-10-01,95.0652066246999,117.557813076568,80.8667352525133,IT,31.022727272727273,2003,7.506168919972289,10.185459241735817,2.6792903217636166,0.6909737182249032
ITA,2004-10-01,103.697747199131,124.841197506027,83.0636876112279,IT,32.391304347826086,2004,6.011227092038762,8.691734911780102,2.6805078197410737,1.3685770750988127
ITA,2005-10-01,110.889649317624,130.768205338652,84.7985953652421,IT,33.67556468172484,2005,4.638382134110408,6.705516573880388,2.06713443976998,1.2842603338987573
ITA,2006-10-01,117.516944058212,134.891524350178,87.1195530995353,IT,34.332688588007734,2006,3.1044601084436074,5.804697141295279,2.700237032851671,0.6571239062828909
ITA,2007-10-01,123.036806414186,138.456245343434,88.8632743464666,IT,34.052111410601974,2007,2.6083425508302227,4.59010218105913,1.981759630228641,-0.2805771774057604
ITA,2008-10-01,121.567248967445,132.747998031927,91.5774234949832,IT,33.76849434290688,2008,-4.21017783472557,-1.20159506432298,3.0085827704030343,-0.2836170676950971
ITA,2009-10-01,117.391750865868,124.601671299019,94.2135838316035,IT,34.197730956239866,2009,-6.333055969139867,-3.4950959377564317,2.8379600313832576,0.42923661333298924
ITA,2010-10-01,119.013907685758,124.297118711335,95.7494891244466,IT,34.891216760676876,2010,-0.24472014481329296,1.3723717863255658,1.617091931139214,0.6934858044370102
ITA,2011-10-01,119.576396652803,122.691060245037,97.4613347111249,IT,35.231895850284786,2011,-1.3005327706130387,0.47151120471697894,1.7720439753299289,0.34067908960791016
ITA,2012-10-01,113.642287820621,114.148052800152,99.5568788385774,IT,34.72,2012,-7.217317584892857,-5.089978067809842,2.1273395170825715,-0.5118958502847875
ITA,2013-10-01,107.004798559842,106.939252394993,100.061249577767,IT,34.98779495524817,2013,-6.523537596161688,-6.018200915057026,0.5053366811051951,0.26779495524817065
ITA,2014-10-01,101.905564071941,101.975933815289,99.9309505120922,IT,34.929810074318745,2014,-4.7524096155362905,-4.882713781450931,-0.1303041659151738,-0.057984880929424776
ITA,2015-10-01,99.8285034414373,99.7454625834646,100.083209439587,IT,35.52519214346713,2015,-2.2115275607681895,-2.0592793829973033,0.15224817777133026,0.5953820691483855
ITA,2016-10-01,100.123152537859,99.8122311742061,100.311462848684,IT,36.275375110326564,2016,0.06691658134121425,0.29472054958077365,0.22780396823938176,0.750182966859434
ITA,2017-10-01,98.9268698615083,98.304039021701,100.633532476178,IT,36.79927667269439,2017,-1.5225617629369914,-1.2020064758941018,0.3205552870432449,0.5239015623678256
ITA,2018-10-01,98.5968171930307,97.5627186560602,101.059888312759,IT,37.43119266055046,2018,-0.7569675571605039,-0.33419078043532835,0.42277677672464264,0.6319159878560683
ITA,2019-10-01,98.9399997056383,97.6510792820769,101.319880538077,IT,38.05555555555556,2019,0.09052703547016705,0.3474621726375915,0.25693513716706917,0.624362895005099
ITA,2020-10-01,100.534732927879,99.1586917031269,101.387672303693,IT,37.23051409618574,2020,1.5320803465888488,1.598966624078546,0.06688627748987486,-0.8250414593698139
ITA,2021-10-01,104.500849589501,102.864746660264,101.590494063389,IT,37.31211317418214,2021,3.669347280275481,3.869193234969437,0.19984595469475508,0.08159907799639399
ITA,2022-10-01,107.257378674776,103.668636195179,103.461698906894,IT,37.80718336483932,2022,0.778463591189027,2.603615285911687,1.8251516947222157,0.49507019065718083
ITA,2023-10-01,109.015341963565,102.592684683023,106.260300240407,IT,37.65306122448979,2023,-1.0432991188967122,1.6257270009822022,2.669026119878648,-0.15412214034952854
ITA,2024-10-01,113.815577837218,103.570251790803,109.89210376191,IT,37.93466807165437,2024,0.9483512905974045,4.3090775889131905,3.3607262983169406,0.28160684716458206
ITA,2025-10-01,118.30242462798,103.54008249821,114.25756147605,IT,37.96394485683987,2025,-0.029133546532111865,3.8664866188669933,3.8956201653978617,0.029276785185501808
JPN,1971-10-01,38.9382958641318,114.634939987207,33.9671432767863,JP,22.062168309325248,1971,6.6765200579668615,14.166051505416144,7.489531447449105,0.026844507811372154
JPN,1972-10-01,47.827950412185,129.432010000293,36.9521034556481,JP,22.727272727272727,1972,12.140307970341002,20.56319693950841,8.422888969167452,0.6651044179474788
JPN,1973-10-01,62.8130647107938,157.12997322636,39.9751440566503,JP,24.83847810480976,1973,19.39175938444322,27.25528833714428,7.863528952700971,2.1112053775370327
JPN,1974-10-01,64.6099474135903,149.89654300145,43.1029367315998,JP,25.770097670924113,1974,-4.7127974999443545,2.820529503104563,7.533327003048962,0.9316195661143531
JPN,1975-10-01,63.3467860083409,134.055832484958,47.2539330507894,JP,26.27365356622999,1975,-11.16889693033265,-1.9744212070183842,9.194475723314532,0.5035558953058761
JPN,1976-10-01,65.3951439033427,125.21755797533,52.2251096374757,JP,27.36462093862816,1976,-6.82036852546668,3.1823831869411734,10.00275171240732,1.0909673723981719
JPN,1977-10-01,68.4093156610141,119.415584591366,57.2866369300017,JP,28.32116788321168,1977,-4.744297159618505,4.506100576558403,9.250397736177662,0.9565469445835184
JPN,1978-10-01,72.9079274572273,117.948248354614,61.8133594809265,JP,30.294117647058826,1978,-1.2363761658455097,6.368836814218248,7.605212980063136,1.9729497638471472
JPN,1979-10-01,81.2957489451286,126.649797684232,64.1892684896379,JP,31.84115523465704,1979,7.117982400817358,10.889634931725123,3.771652530907943,1.547037587598215
JPN,1980-10-01,91.7754388097764,136.369456526157,67.2989751009338,JP,32.619557458957885,1980,7.394201556646074,12.125098404763524,4.730896848117538,0.7784022243008444
JPN,1981-10-01,100.795670026035,143.477428048272,70.2517882345563,JP,32.6829268292683,1981,5.080993242359977,9.375068788720053,4.294075546360343,0.06336937031041145
JPN,1982-10-01,107.460118217868,147.339733905883,72.9334106298409,JP,32.59557344064387,1982,2.6563308269555996,6.402438678680511,3.7461078517249113,-0.08735338862442887
